Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
35-44,Male,Postgraduate,500-1000,Working Professional,Costa Rica,Bauerville,Married,Yes,Not applicable,Smartphone,Average,<1,Evening,Self-paced,4,Google Search,Rarely,Pop-up,Yes,Very appealing,"Exam preparation, Parental suggestion, Skill development, Academic help, Other","Switch careers, Start a business, Personal enrichment, Networking, Get a new job, Pass exams","Exam prep, Science, Technology, Other, Arts, Business","Recorded videos, Personalized content, Gamification, Quizzes, Offline access, Other","Customer support, Peer reviews, App design, Price, Certification, Flexibility","Distractions, Lack of support, Cost, Technical issues, Boring content",5,6-10,Yes,Interesting content,No,Monthly subscription,10-20,"No payment method, Complicated signup, Privacy concerns, Other, Prefer free content, Not enough content",5,No,"Other, Community forums, Discussion boards, Leaderboards","Khan Academy, None, Unacademy, Byju’s, edX",More affordable
18-24,Male,High School,1000-2000,Working Professional,Seychelles,East Stephanie,Other,No,Not applicable,Smartphone,Average,4-6,Afternoon,Live classes,4,Instagram,Never,Video,Somewhat,Appealing,"Exam preparation, Peer recommendation, Hobby learning, Career growth, Skill development","Switch careers, Get a new job, Earn certifications, Pass exams, Start a business","Exam prep, Technology, Business, Science","Peer interaction, Offline access, Recorded videos, Other, Personalized content","Peer reviews, Price, Tutor quality, Other, Customer support","Technical issues, Poor internet, Other, Distractions, Cost",5,1-2,Yes,Unclear benefits,No,Free only,10-20,"No payment method, Lack of reviews, Other, Prefer free content, Privacy concerns, Complicated signup",3,No,"Downloadable resources, Quizzes, Progress tracking, Leaderboards, Discussion boards, Community forums","None, edX, Other, Byju’s, Skillshare, Udemy",More affordable
35-44,Male,Undergraduate,<500,Student,Ghana,Mcdonaldbury,Single,Yes,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,5,Facebook,Sometimes,Text,Yes,Appealing,"Peer recommendation, Certification, Career growth, Academic help, Hobby learning, Parental suggestion","Improve current job skills, Other, Start a business, Switch careers","Humanities, Exam prep, Other, Science, Languages","Gamification, Live classes, Offline access, Peer interaction, Certificates","Customer support, Price, Content quality, Tutor quality, Flexibility","Time management, Poor internet, Cost, Lack of support, Technical issues, Distractions",5,1-2,No,Trust in brand,No,Monthly subscription,<10,"Price, Prefer free content, Lack of reviews, Privacy concerns, Other, Complicated signup",5,No,"Leaderboards, Downloadable resources, Community forums, Progress tracking, Other, Notes/highlighting","Unacademy, None, Khan Academy, Udemy, Other, edX",More courses
25-34,Male,Postgraduate,1000-2000,Student,Myanmar,Martinhaven,Married,Yes,Yes,Smartphone,Excellent,4-6,Evening,Self-paced,2,YouTube,Often,Video,Yes,Appealing,"Exam preparation, Hobby learning, Parental suggestion, Peer recommendation","Earn certifications, Get a new job, Other, Pass exams","Exam prep, Science, Technology, Business, Languages, Other","Offline access, Peer interaction, Live classes, Recorded videos, Other","Other, Content quality, App design, Certification, Flexibility","Boring content, Other, Technical issues, Lack of support, Lack of motivation",5,1-2,Yes,Value for money,No,Free only,>100,"Prefer free content, Privacy concerns, Lack of reviews, Complicated signup, Price",4,No,"Other, Notes/highlighting, Quizzes, Downloadable resources","Unacademy, Byju’s, Other, edX, Skillshare, Khan Academy",More affordable
45-54,Male,Undergraduate,2000-5000,Working Professional,Antarctica (the territory South of 60 deg S),Taylormouth,Married,No,Not applicable,Smartphone,Good,>6,Evening,One-on-one,3,Google Search,Sometimes,Image,Yes,Neutral,"Skill development, Parental suggestion, Peer recommendation, Certification, Hobby learning","Improve current job skills, Start a business, Earn certifications, Switch careers, Networking","Other, Technology, Business, Arts","Peer interaction, Certificates, Quizzes, Recorded videos, Gamification, Personalized content, Other","Customer support, Certification, Peer reviews, Price, Flexibility","Technical issues, Other, Lack of motivation, Boring content",5,1-2,Yes,Trust in brand,Yes,Free only,10-20,,4,Yes,"Community forums, Discussion boards, Leaderboards, Live sessions, Progress tracking, Quizzes","None, Byju’s, Other, Skillshare, Unacademy, Udemy",Improved interaction
35-44,Male,Doctorate,1000-2000,Working Professional,Haiti,West Shannon,Other,No,Not applicable,Other,Good,>6,Evening,Self-paced,5,Facebook,Sometimes,Pop-up,Yes,Very appealing,"Skill development, Parental suggestion, Hobby learning, Other, Career growth, Peer recommendation","Improve current job skills, Personal enrichment, Start a business, Switch careers, Networking","Science, Business, Languages, Other, Exam prep, Technology","Certificates, Offline access, Peer interaction, Recorded videos, Gamification","Content quality, Peer reviews, App design, Flexibility","Lack of support, Lack of motivation, Cost, Technical issues, Poor internet, Boring content",4,6-10,Yes,Trust in brand,No,Monthly subscription,10-20,"Privacy concerns, Other, Complicated signup, No payment method, Lack of reviews",4,Yes,"Discussion boards, Quizzes, Leaderboards, Other","Other, Skillshare, Byju’s, Khan Academy, None, Unacademy",More live sessions
18-24,Female,Undergraduate,2000-5000,Student,Vanuatu,Gomezfort,Single,No,Not applicable,Smartphone,Excellent,>6,Afternoon,Live classes,4,YouTube,Often,Pop-up,Somewhat,Unappealing,"Other, Academic help, Peer recommendation, Hobby learning, Career growth, Exam preparation","Improve current job skills, Get a new job, Networking, Start a business, Earn certifications, Other","Other, Business, Arts, Humanities, Technology, Science","Gamification, Recorded videos, Live classes, Quizzes, Offline access","Price, Other, App design, Customer support","Lack of motivation, Poor internet, Distractions, Other",4,1-2,Yes,Interesting content,No,Annual subscription,20-50,"No payment method, Other, Prefer free content, Price, Lack of reviews, Not enough content",1,No,"Live sessions, Community forums, Progress tracking, Downloadable resources","Other, Unacademy, Udemy, Byju’s, Khan Academy, edX",More affordable
18-24,Male,Undergraduate,500-1000,Working Professional,Nicaragua,Lake Curtischester,Married,Yes,Not applicable,Smartphone,Good,2-4,Evening,One-on-one,3,Instagram,Sometimes,Image,Yes,Unappealing,"Certification, Career growth, Peer recommendation, Academic help, Exam preparation, Skill development","Earn certifications, Other, Start a business, Networking, Get a new job, Personal enrichment","Humanities, Technology, Business, Languages, Exam prep","Certificates, Recorded videos, Offline access, Live classes, Other, Personalized content","Flexibility, Tutor quality, Price, Other, Certification, Customer support","Other, Time management, Poor internet, Lack of support, Cost",5,6-10,Yes,Unclear benefits,No,Monthly subscription,20-50,"Privacy concerns, Not enough content, Prefer free content, Lack of reviews",2,Yes,"Quizzes, Discussion boards, Live sessions, Other, Progress tracking","Unacademy, Byju’s, None, Coursera",Better support
25-34,Male,Undergraduate,1000-2000,Working Professional,Yemen,Lake Brian,Single,Yes,Yes,Smartphone,Good,<1,Evening,Blended,4,Instagram,Sometimes,Influencer post,Yes,Unappealing,"Hobby learning, Parental suggestion, Skill development, Certification","Networking, Improve current job skills, Get a new job, Other","Languages, Other, Science, Arts","Peer interaction, Other, Offline access, Certificates","Tutor quality, App design, Other, Price, Flexibility, Content quality","Distractions, Lack of support, Technical issues, Cost, Lack of motivation, Boring content",4,0,Yes,Value for money,Yes,Annual subscription,<10,,5,Yes,"Discussion boards, Other, Notes/highlighting, Quizzes, Progress tracking, Live sessions","Coursera, Unacademy, Byju’s, Udemy, edX, Khan Academy",More affordable
35-44,Male,Undergraduate,500-1000,Other,Botswana,New Angela,Single,Yes,Yes,Smart TV,Average,1-2,Evening,Live classes,4,YouTube,Sometimes,Video,Yes,Very appealing,"Certification, Hobby learning, Other, Academic help, Exam preparation, Peer recommendation","Networking, Start a business, Get a new job, Improve current job skills, Switch careers, Other","Languages, Arts, Exam prep, Science, Business","Personalized content, Peer interaction, Quizzes, Offline access","Customer support, Content quality, Certification, App design, Other","Poor internet, Lack of motivation, Boring content, Cost",3,3-5,No,Value for money,No,Annual subscription,<10,"Price, Lack of reviews, No payment method, Not enough content, Privacy concerns, Prefer free content",4,Yes,"Progress tracking, Community forums, Notes/highlighting, Other, Discussion boards, Leaderboards","Other, Khan Academy, Udemy, Skillshare, edX",More live sessions
35-44,Male,Undergraduate,>5000,Student,Kenya,Lake Kimberly,Single,No,Not applicable,Laptop/PC,Excellent,2-4,Night,Live classes,4,Instagram,Sometimes,Text,Yes,Neutral,"Other, Parental suggestion, Certification, Exam preparation, Peer recommendation, Skill development","Networking, Pass exams, Get a new job, Switch careers, Start a business, Earn certifications","Technology, Humanities, Science, Business, Other, Arts","Gamification, Quizzes, Certificates, Live classes, Personalized content, Offline access","Customer support, Peer reviews, Certification, Other","Cost, Distractions, Lack of motivation, Technical issues",3,6-10,No,Lack of interest,No,Monthly subscription,20-50,"Not enough content, No payment method, Other, Price",4,No,"Other, Progress tracking, Discussion boards, Notes/highlighting","Khan Academy, Byju’s, Coursera, edX, Udemy, Skillshare",More affordable
18-24,Male,Undergraduate,2000-5000,Student,Malawi,East Christopherburgh,Single,No,Not applicable,Other,Good,4-6,Evening,Blended,3,Google Search,Rarely,Influencer post,No,Appealing,"Career growth, Parental suggestion, Academic help, Other, Hobby learning, Exam preparation","Personal enrichment, Switch careers, Other, Improve current job skills, Start a business, Pass exams","Other, Technology, Business, Exam prep","Offline access, Other, Certificates, Peer interaction, Quizzes, Personalized content","Price, App design, Other, Certification, Customer support","Lack of support, Other, Poor internet, Lack of motivation, Distractions",2,6-10,No,Interesting content,No,Pay per course,<10,"Not enough content, Prefer free content, Privacy concerns, Other",4,Yes,"Notes/highlighting, Live sessions, Discussion boards, Community forums","Udemy, Byju’s, None, Skillshare, Khan Academy",More affordable
25-34,Female,Postgraduate,500-1000,Working Professional,Gibraltar,Adamborough,Single,Yes,No,Smartphone,Excellent,4-6,Evening,Group sessions,4,WhatsApp,Often,Video,Yes,Neutral,"Certification, Hobby learning, Other, Career growth","Networking, Personal enrichment, Improve current job skills, Pass exams, Get a new job, Other","Science, Business, Arts, Exam prep, Humanities, Languages","Gamification, Certificates, Recorded videos, Other","Customer support, Other, Peer reviews, Tutor quality, Price","Other, Technical issues, Poor internet, Lack of motivation",5,>10,Yes,Trust in brand,No,Pay per course,<10,"Prefer free content, No payment method, Privacy concerns, Price, Other, Lack of reviews",4,No,"Progress tracking, Discussion boards, Leaderboards, Community forums, Notes/highlighting, Other","Byju’s, Unacademy, Coursera, None, Udemy, Khan Academy",More languages
35-44,Female,Postgraduate,<500,Student,Lithuania,Ginaburgh,Married,Yes,Not applicable,Laptop/PC,Excellent,4-6,Night,Self-paced,1,Facebook,Never,Image,Yes,Very appealing,"Skill development, Academic help, Other, Certification, Hobby learning","Get a new job, Earn certifications, Switch careers, Personal enrichment, Start a business, Pass exams","Exam prep, Technology, Other, Business, Arts, Languages","Gamification, Other, Offline access, Live classes, Certificates, Peer interaction","Flexibility, Price, Other, App design, Certification","Technical issues, Other, Lack of support, Lack of motivation, Poor internet, Boring content",1,1-2,Yes,Unclear benefits,No,Monthly subscription,10-20,"Other, No payment method, Not enough content, Lack of reviews",4,No,"Community forums, Discussion boards, Other, Downloadable resources","Unacademy, Skillshare, Khan Academy, edX, Byju’s, None",More courses
25-34,Male,Undergraduate,1000-2000,Entrepreneur,Germany,Brownshire,Single,No,Not applicable,Smartphone,Excellent,2-4,Evening,One-on-one,5,Google Search,Sometimes,Image,Yes,Neutral,"Exam preparation, Skill development, Hobby learning, Other","Pass exams, Other, Earn certifications, Switch careers","Arts, Other, Science, Technology","Quizzes, Other, Gamification, Personalized content, Certificates","Flexibility, Certification, Other, Customer support, App design, Tutor quality","Lack of support, Poor internet, Distractions, Lack of motivation",1,6-10,Yes,Lack of interest,Yes,Pay per course,20-50,,3,No,"Notes/highlighting, Live sessions, Quizzes, Community forums","Unacademy, Other, Skillshare, Byju’s, None, Coursera",Better support
18-24,Male,Postgraduate,500-1000,Working Professional,Estonia,East Billymouth,Other,No,Not applicable,Laptop/PC,Excellent,4-6,Early morning,Self-paced,5,YouTube,Sometimes,Image,Yes,Very appealing,"Exam preparation, Other, Hobby learning, Skill development, Certification, Career growth","Pass exams, Personal enrichment, Switch careers, Get a new job, Other, Earn certifications","Technology, Science, Exam prep, Business, Other","Recorded videos, Quizzes, Gamification, Certificates, Other","Peer reviews, Customer support, Tutor quality, Certification, Price, Other","Boring content, Poor internet, Distractions, Cost, Technical issues",5,3-5,Yes,Peer pressure,Yes,Pay per course,50-100,,4,Yes,"Live sessions, Notes/highlighting, Downloadable resources, Community forums","Byju’s, Unacademy, Khan Academy, Skillshare, None",Other
18-24,Female,Postgraduate,>5000,Entrepreneur,Montserrat,Robinsonborough,Single,No,Not applicable,Smart TV,Good,4-6,Evening,Self-paced,5,Instagram,Rarely,Image,Somewhat,Unappealing,"Parental suggestion, Career growth, Other, Peer recommendation","Personal enrichment, Pass exams, Other, Networking, Start a business, Improve current job skills","Other, Exam prep, Humanities, Science","Peer interaction, Quizzes, Certificates, Personalized content, Other","Price, Peer reviews, Flexibility, Other","Technical issues, Cost, Boring content, Poor internet, Distractions",2,0,No,Value for money,No,Free only,10-20,"Complicated signup, Prefer free content, No payment method, Not enough content",2,No,"Progress tracking, Live sessions, Downloadable resources, Discussion boards, Notes/highlighting","Unacademy, edX, None, Coursera",Better UI
55+,Male,Undergraduate,500-1000,Student,Ghana,South Karenshire,Married,No,Not applicable,Smartphone,Excellent,<1,Evening,Self-paced,5,WhatsApp,Often,Video,Somewhat,Appealing,"Parental suggestion, Other, Certification, Peer recommendation, Skill development, Academic help","Improve current job skills, Personal enrichment, Other, Pass exams, Get a new job","Arts, Other, Business, Exam prep, Humanities","Quizzes, Peer interaction, Offline access, Personalized content, Live classes","App design, Peer reviews, Tutor quality, Customer support, Price, Content quality","Cost, Technical issues, Distractions, Lack of motivation, Time management, Boring content",5,3-5,Yes,Parental advice,No,One-time purchase,<10,"Price, Lack of reviews, No payment method, Privacy concerns",5,Yes,"Live sessions, Discussion boards, Other, Progress tracking, Downloadable resources","Byju’s, Coursera, Skillshare, Udemy, Khan Academy",Improved interaction
45-54,Male,Postgraduate,500-1000,Other,Iraq,Hayesburgh,Married,No,Not applicable,Smartphone,Good,4-6,Evening,Self-paced,4,Instagram,Rarely,Influencer post,Yes,Neutral,"Academic help, Exam preparation, Career growth, Parental suggestion, Certification, Other","Other, Networking, Get a new job, Personal enrichment","Exam prep, Arts, Humanities, Technology","Personalized content, Recorded videos, Live classes, Offline access, Gamification, Other","Content quality, Certification, Flexibility, Peer reviews, Price","Lack of support, Other, Technical issues, Poor internet, Cost, Lack of motivation",3,3-5,No,Trust in brand,No,Monthly subscription,50-100,"No payment method, Price, Prefer free content, Privacy concerns",2,No,"Leaderboards, Downloadable resources, Community forums, Discussion boards, Quizzes","Udemy, Skillshare, Unacademy, Coursera",More courses
25-34,Male,Postgraduate,<500,Working Professional,Philippines,Christopherbury,Single,No,Not applicable,Smartphone,Good,2-4,Afternoon,Self-paced,5,Google Search,Sometimes,Influencer post,Yes,Very appealing,"Academic help, Exam preparation, Certification, Skill development","Switch careers, Personal enrichment, Improve current job skills, Other, Earn certifications","Business, Arts, Science, Exam prep","Other, Personalized content, Gamification, Recorded videos, Certificates, Peer interaction","Price, Content quality, Peer reviews, Tutor quality","Boring content, Cost, Distractions, Time management, Other",3,6-10,No,Value for money,No,Monthly subscription,<10,"Lack of reviews, Complicated signup, No payment method, Other",3,No,"Notes/highlighting, Other, Leaderboards, Downloadable resources, Discussion boards","Skillshare, Unacademy, edX, Udemy",Better UI
25-34,Male,Postgraduate,<500,Homemaker,Brunei Darussalam,Karishire,Married,No,Not applicable,Laptop/PC,Average,4-6,Evening,Live classes,5,Other,Never,Text,Yes,Neutral,"Academic help, Certification, Other, Exam preparation, Parental suggestion, Hobby learning","Switch careers, Other, Get a new job, Networking, Personal enrichment","Technology, Arts, Business, Science, Exam prep, Other","Certificates, Gamification, Peer interaction, Live classes, Quizzes","Price, Certification, App design, Other","Technical issues, Lack of motivation, Lack of support, Poor internet",2,3-5,No,Unclear benefits,No,Annual subscription,50-100,"Other, Not enough content, Privacy concerns, Prefer free content, No payment method",3,No,"Downloadable resources, Progress tracking, Live sessions, Other","Skillshare, Byju’s, Khan Academy, None, Coursera, edX",Improved interaction
25-34,Female,Undergraduate,<500,Entrepreneur,Marshall Islands,Brittanyberg,Married,Yes,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,4,Instagram,Never,Image,Yes,Very appealing,"Career growth, Academic help, Parental suggestion, Hobby learning, Certification","Start a business, Switch careers, Personal enrichment, Networking","Humanities, Arts, Science, Technology, Languages","Gamification, Peer interaction, Personalized content, Certificates, Offline access, Recorded videos","Peer reviews, Certification, Content quality, Customer support, Flexibility, Price","Boring content, Distractions, Time management, Other",4,1-2,Yes,Peer pressure,No,Monthly subscription,10-20,"Not enough content, No payment method, Complicated signup, Prefer free content, Price",4,Yes,"Live sessions, Notes/highlighting, Discussion boards, Downloadable resources, Progress tracking, Other","Byju’s, Other, Coursera, Skillshare",Better support
35-44,Female,Postgraduate,<500,Retired,Nigeria,Roberttown,Single,No,Not applicable,Other,Poor,4-6,Evening,Group sessions,1,Instagram,Rarely,Influencer post,Yes,Appealing,"Career growth, Peer recommendation, Other, Skill development","Other, Get a new job, Networking, Switch careers","Other, Science, Humanities, Business","Gamification, Peer interaction, Other, Offline access, Personalized content, Live classes","Price, Certification, App design, Flexibility, Peer reviews, Content quality, Customer support, Tutor quality","Other, Lack of support, Poor internet, Time management, Technical issues, Boring content",3,3-5,Yes,Parental advice,No,Annual subscription,<10,"Other, Privacy concerns, Not enough content, No payment method, Complicated signup",3,Yes,"Community forums, Downloadable resources, Notes/highlighting, Live sessions, Leaderboards, Discussion boards","Khan Academy, edX, Unacademy, Other, Skillshare",More affordable
35-44,Male,Postgraduate,1000-2000,Student,Russian Federation,Andrewside,Single,No,Not applicable,Laptop/PC,Good,4-6,Early morning,Self-paced,2,YouTube,Rarely,Text,Yes,Very unappealing,"Parental suggestion, Peer recommendation, Certification, Skill development, Hobby learning","Personal enrichment, Start a business, Other, Switch careers, Pass exams","Business, Other, Technology, Arts, Languages","Other, Quizzes, Live classes, Offline access, Peer interaction","Tutor quality, Price, Customer support, Certification, Content quality","Distractions, Technical issues, Cost, Poor internet, Time management, Lack of motivation",5,1-2,No,Trust in brand,No,Free only,20-50,"Complicated signup, Lack of reviews, Price, Not enough content",4,Yes,"Other, Quizzes, Community forums, Discussion boards, Downloadable resources, Live sessions","Khan Academy, Udemy, None, Unacademy, Coursera, edX",More live sessions
35-44,Female,Undergraduate,2000-5000,Student,Malta,South Mistyview,Single,No,Not applicable,Smartphone,Good,4-6,Evening,Self-paced,2,Instagram,Never,Influencer post,Somewhat,Neutral,"Career growth, Other, Certification, Parental suggestion, Hobby learning","Personal enrichment, Networking, Pass exams, Switch careers, Other","Exam prep, Languages, Arts, Science, Technology","Offline access, Live classes, Recorded videos, Gamification","App design, Content quality, Tutor quality, Certification, Peer reviews, Price","Technical issues, Distractions, Time management, Lack of support, Lack of motivation",4,6-10,Yes,Lack of interest,Yes,Annual subscription,<10,,4,No,"Progress tracking, Quizzes, Leaderboards, Other","Khan Academy, None, Other, Byju’s",More live sessions
18-24,Male,High School,<500,Working Professional,Bahamas,New Andrew,Single,No,Not applicable,Tablet,Average,2-4,Evening,Self-paced,3,YouTube,Always,Video,Somewhat,Appealing,"Hobby learning, Academic help, Exam preparation, Skill development, Career growth","Personal enrichment, Networking, Improve current job skills, Start a business, Pass exams, Earn certifications","Arts, Science, Other, Exam prep","Recorded videos, Peer interaction, Gamification, Other","Tutor quality, App design, Content quality, Peer reviews, Other","Time management, Poor internet, Other, Distractions, Cost, Technical issues",5,0,No,Value for money,No,Annual subscription,10-20,"Other, Prefer free content, Privacy concerns, Not enough content, Price, Complicated signup",4,Yes,"Quizzes, Leaderboards, Downloadable resources, Discussion boards, Progress tracking","Skillshare, Coursera, Unacademy, Byju’s, Khan Academy, Udemy",Improved interaction
18-24,Male,Doctorate,<500,Working Professional,Colombia,Stanleyton,Single,No,Not applicable,Laptop/PC,Good,2-4,Evening,Self-paced,5,Instagram,Rarely,Video,Yes,Appealing,"Certification, Other, Parental suggestion, Academic help","Get a new job, Other, Improve current job skills, Networking, Start a business","Other, Humanities, Science, Technology, Arts","Quizzes, Gamification, Personalized content, Recorded videos, Offline access, Peer interaction","Flexibility, Other, App design, Customer support, Content quality, Tutor quality","Lack of motivation, Cost, Distractions, Other, Time management, Boring content",5,1-2,No,Interesting content,No,Annual subscription,10-20,"Other, No payment method, Privacy concerns, Complicated signup",3,No,"Community forums, Live sessions, Discussion boards, Downloadable resources","Byju’s, Coursera, Khan Academy, Unacademy",Better UI
25-34,Male,Undergraduate,1000-2000,Student,French Guiana,Martinezton,Single,No,Not applicable,Smartphone,Poor,2-4,Evening,Blended,3,LinkedIn,Sometimes,Text,Yes,Neutral,"Skill development, Academic help, Hobby learning, Other","Other, Improve current job skills, Pass exams, Personal enrichment, Earn certifications","Languages, Science, Humanities, Other, Business","Quizzes, Gamification, Offline access, Certificates, Peer interaction, Other","Tutor quality, Price, App design, Customer support","Technical issues, Other, Lack of support, Poor internet, Cost, Lack of motivation",5,3-5,No,Other,No,Monthly subscription,10-20,"Price, Other, Not enough content, No payment method",4,Yes,"Progress tracking, Live sessions, Quizzes, Leaderboards, Discussion boards, Notes/highlighting","Udemy, Coursera, edX, Byju’s",Better UI
45-54,Male,Undergraduate,>5000,Working Professional,Antigua and Barbuda,Ericabury,Single,Yes,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,5,Facebook,Sometimes,Influencer post,Yes,Neutral,"Peer recommendation, Career growth, Academic help, Certification","Start a business, Other, Pass exams, Earn certifications, Personal enrichment","Technology, Science, Exam prep, Other","Offline access, Peer interaction, Recorded videos, Other","Flexibility, Certification, Price, Tutor quality, App design","Lack of support, Time management, Distractions, Cost, Poor internet",3,3-5,Yes,Interesting content,Yes,Free only,<10,,5,Yes,"Downloadable resources, Leaderboards, Progress tracking, Live sessions, Notes/highlighting","None, Udemy, Skillshare, edX",More courses
25-34,Female,Undergraduate,1000-2000,Working Professional,United States Virgin Islands,Richardston,Single,No,Not applicable,Smart TV,Good,4-6,Afternoon,Live classes,4,Facebook,Rarely,Pop-up,Yes,Neutral,"Peer recommendation, Parental suggestion, Other, Academic help, Certification","Get a new job, Pass exams, Improve current job skills, Earn certifications, Other","Languages, Humanities, Technology, Science, Other, Business","Offline access, Quizzes, Live classes, Certificates","App design, Content quality, Certification, Price, Other","Other, Poor internet, Cost, Lack of support",5,6-10,Yes,Value for money,No,Pay per course,10-20,"Prefer free content, No payment method, Lack of reviews, Not enough content",5,Yes,"Leaderboards, Quizzes, Discussion boards, Live sessions","Coursera, Byju’s, Other, Khan Academy, Skillshare",Improved interaction
45-54,Male,High School,1000-2000,Working Professional,Saudi Arabia,North Linda,Married,No,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,1,Facebook,Sometimes,Video,Yes,Very appealing,"Career growth, Exam preparation, Skill development, Peer recommendation","Other, Networking, Pass exams, Start a business, Get a new job","Business, Technology, Languages, Exam prep, Science, Arts","Recorded videos, Live classes, Personalized content, Peer interaction, Gamification, Quizzes","Flexibility, Other, Customer support, Price, Content quality, Certification","Time management, Other, Lack of motivation, Poor internet",5,6-10,No,Value for money,No,Monthly subscription,20-50,"Not enough content, Other, Complicated signup, Price",3,No,"Live sessions, Progress tracking, Quizzes, Other","None, Skillshare, Byju’s, edX",More courses
25-34,Female,Undergraduate,2000-5000,Working Professional,Cote d'Ivoire,Simonfurt,Married,Yes,Not applicable,Laptop/PC,Good,>6,Early morning,Self-paced,5,Facebook,Rarely,Influencer post,Yes,Appealing,"Certification, Academic help, Parental suggestion, Exam preparation","Other, Start a business, Earn certifications, Switch careers","Arts, Science, Exam prep, Other","Certificates, Quizzes, Recorded videos, Offline access","Price, Peer reviews, App design, Flexibility, Certification","Lack of motivation, Time management, Poor internet, Other",5,1-2,Yes,Value for money,No,Monthly subscription,10-20,"Complicated signup, Lack of reviews, Prefer free content, Privacy concerns, Not enough content",2,No,"Progress tracking, Community forums, Other, Live sessions","Skillshare, Udemy, Unacademy, None, edX",More affordable
18-24,Non-binary/Other,Postgraduate,500-1000,Working Professional,Jamaica,West Vickiefurt,Single,No,Not applicable,Laptop/PC,Good,1-2,Afternoon,Self-paced,2,Google Search,Sometimes,Image,Yes,Neutral,"Hobby learning, Career growth, Academic help, Peer recommendation, Other, Skill development","Other, Improve current job skills, Switch careers, Get a new job, Networking, Start a business","Science, Arts, Business, Technology, Exam prep, Languages","Quizzes, Live classes, Certificates, Recorded videos, Offline access","Content quality, Flexibility, Other, Certification, Customer support, Price","Distractions, Lack of motivation, Technical issues, Time management, Poor internet",5,0,Yes,Value for money,No,Pay per course,10-20,"Complicated signup, Other, No payment method, Price, Prefer free content",5,Yes,"Live sessions, Notes/highlighting, Discussion boards, Downloadable resources","Byju’s, Unacademy, Udemy, Khan Academy, edX, Skillshare",More languages
25-34,Female,Undergraduate,1000-2000,Working Professional,Netherlands Antilles,Thompsonmouth,Other,No,Not applicable,Smartphone,Excellent,<1,Afternoon,Live classes,1,Google Search,Sometimes,Influencer post,Yes,Unappealing,"Hobby learning, Peer recommendation, Other, Skill development, Exam preparation","Get a new job, Personal enrichment, Pass exams, Earn certifications","Arts, Exam prep, Science, Business, Humanities","Recorded videos, Gamification, Peer interaction, Quizzes, Other","Tutor quality, Content quality, App design, Customer support, Peer reviews","Cost, Boring content, Lack of motivation, Other, Time management",5,6-10,No,Lack of interest,No,Pay per course,<10,"Privacy concerns, Other, Lack of reviews, Not enough content, Complicated signup",5,Yes,"Community forums, Quizzes, Notes/highlighting, Progress tracking, Discussion boards, Downloadable resources","Udemy, Khan Academy, Coursera, Unacademy",More courses
35-44,Female,Doctorate,1000-2000,Working Professional,San Marino,Petersport,Single,Yes,Yes,Smartphone,Good,1-2,Early morning,Blended,5,WhatsApp,Often,Video,Yes,Neutral,"Skill development, Career growth, Hobby learning, Academic help, Parental suggestion","Networking, Switch careers, Get a new job, Personal enrichment, Improve current job skills, Other","Humanities, Science, Technology, Arts, Other","Quizzes, Other, Gamification, Recorded videos, Personalized content","Tutor quality, App design, Flexibility, Other, Customer support, Certification","Technical issues, Lack of motivation, Cost, Boring content",3,>10,No,Interesting content,No,Pay per course,10-20,"Prefer free content, Price, Other, Not enough content",5,Yes,"Discussion boards, Quizzes, Community forums, Other, Leaderboards, Progress tracking","None, Skillshare, Unacademy, edX, Coursera, Byju’s",More affordable
18-24,Female,Undergraduate,500-1000,Student,Kyrgyz Republic,New Charlesbury,Married,No,Not applicable,Laptop/PC,Excellent,1-2,Early morning,Blended,4,Google Search,Sometimes,Pop-up,Yes,Very appealing,"Parental suggestion, Exam preparation, Certification, Skill development","Pass exams, Personal enrichment, Start a business, Earn certifications","Arts, Humanities, Other, Business, Languages","Live classes, Certificates, Gamification, Recorded videos, Personalized content","Other, Customer support, Flexibility, App design, Price","Distractions, Time management, Lack of motivation, Lack of support, Technical issues, Poor internet",5,3-5,No,Value for money,No,Annual subscription,20-50,"Complicated signup, Privacy concerns, Lack of reviews, Price, No payment method",5,Yes,"Other, Quizzes, Live sessions, Notes/highlighting","Byju’s, Khan Academy, Coursera, Unacademy, Udemy",More live sessions
